symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:ADA/TUSD,ADA/TUSD,ADA,TUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.0001
binance:ADA/USD:ADA,ADA/USD:ADA,ADA,USD,swap,0,1,0,0,1,0.0005,0.0001,,,1,0.0001
binance:ADA/USD:ADA-250926,ADA/USD:ADA-250926,ADA,USD,future,0,0,1,0,1,0.0005,0.0001,,,1,0.0001
binance:ADA/USDC,ADA/USDC,ADA,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ADA/USDC:USDC,ADA/USDC:USDC,ADA,USDC,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.0001
binance:ADA/USDT,ADA/USDT,ADA,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ADA/USDT:USDT,ADA/USDT:USDT,ADA,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.0001
binance:ADADOWN/USDT,ADADOWN/USDT,ADADOWN,USDT,spot,1,0,0,0,0,0.001,0.001,BREAK,0,0.01,0.000001
binance:ADAUP/USDT,ADAUP/USDT,ADAUP,USDT,spot,1,0,0,0,0,0.001,0.001,BREAK,0,0.01,0.001
binance:ADX/BNB,ADX/BNB,ADX,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.000001
binance:ADX/BTC,ADX/BTC,ADX,BTC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ADX/BUSD,ADX/BUSD,ADX,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.0001
binance:ADX/ETH,ADX/ETH,ADX,ETH,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ADX/USDT,ADX/USDT,ADX,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.0001
binance:AE/BNB,AE/BNB,AE,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.00001
binance:AE/BTC,AE/BTC,AE,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00000001
binance:AE/ETH,AE/ETH,AE,ETH,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,0.000001
binance:AERGO/BTC,AERGO/BTC,AERGO,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00000001
binance:AERGO/BUSD,AERGO/BUSD,AERGO,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.0001
binance:AERGO/USDT,AERGO/USDT,AERGO,USDT,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.0001
binance:AERGO/USDT:USDT,AERGO/USDT:USDT,AERGO,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:AERO/USDT:USDT,AERO/USDT:USDT,AERO,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.0001
binance:AEUR/USDT,AEUR/USDT,AEUR,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AEVO/BNB,AEVO/BNB,AEVO,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,0.000001
binance:AEVO/BTC,AEVO/BTC,AEVO,BTC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.01,0.00000001
binance:AEVO/FDUSD,AEVO/FDUSD,AEVO,FDUSD,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:AEVO/TRY,AEVO/TRY,AEVO,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.01,0.01
binance:AEVO/USDT,AEVO/USDT,AEVO,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:AEVO/USDT:USDT,AEVO/USDT:USDT,AEVO,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.0001
binance:AGI/BNB,AGI/BNB,AGI,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.000001
binance:AGI/BTC,AGI/BTC,AGI,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00000001
binance:AGI/ETH,AGI/ETH,AGI,ETH,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00000001
binance:AGIX/BTC,AGIX/BTC,AGIX,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00000001
binance:AGIX/BUSD,AGIX/BUSD,AGIX,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00001
binance:AGIX/FDUSD,AGIX/FDUSD,AGIX,FDUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.0001
