symbol,base,quote,cotiza_vs_directo,origen,1_base_equivale_x_quote,1_quote_equivale_x_base
FORM/USDC,FORM,USDC,base:FORM; quote:USDC,indirecto,,
FORTH/BTC,FORTH,BTC,base:FORTH; quote:BTC,indirecto,,
FUN/USDC,FUN,USDC,base:FUN; quote:USDC,indirecto,,
GALA/BTC,GALA,BTC,base:GALA; quote:BTC,indirecto,,
GALA/ETH,GALA,ETH,base:GALA; quote:ETH,indirecto,,
GALA/FDUSD,GALA,FDUSD,base:GALA; quote:FDUSD,indirecto,,
GALA/USDC,GALA,USDC,base:GALA; quote:USDC,indirecto,,
GAS/BTC,GAS,BTC,base:GAS; quote:BTC,indirecto,,
GLM/BTC,GLM,BTC,base:GLM; quote:BTC,indirecto,,
GLMR/BTC,GLMR,BTC,base:GLMR; quote:BTC,indirecto,,
GMT/BTC,GMT,BTC,base:GMT; quote:BTC,indirecto,,
GMT/USDC,GMT,USDC,base:GMT; quote:USDC,indirecto,,
GMX/USDC,GMX,USDC,base:GMX; quote:USDC,indirecto,,
GPS/BNB,GPS,BNB,base:GPS; quote:BNB,indirecto,,
GPS/USDC,GPS,USDC,base:GPS; quote:USDC,indirecto,,
GRT/BTC,GRT,BTC,base:GRT; quote:BTC,indirecto,,
GRT/ETH,GRT,ETH,base:GRT; quote:ETH,indirecto,,
GRT/FDUSD,GRT,FDUSD,base:GRT; quote:FDUSD,indirecto,,
GRT/USDC,GRT,USDC,base:GRT; quote:USDC,indirecto,,
GUN/BNB,GUN,BNB,base:GUN; quote:BNB,indirecto,,
GUN/FDUSD,GUN,FDUSD,base:GUN; quote:FDUSD,indirecto,,
GUN/USDC,GUN,USDC,base:GUN; quote:USDC,indirecto,,
HAEDAL/BNB,HAEDAL,BNB,base:HAEDAL; quote:BNB,indirecto,,
HAEDAL/FDUSD,HAEDAL,FDUSD,base:HAEDAL; quote:FDUSD,indirecto,,
HAEDAL/USDC,HAEDAL,USDC,base:HAEDAL; quote:USDC,indirecto,,
HBAR/BNB,HBAR,BNB,base:HBAR; quote:BNB,indirecto,,
HBAR/BTC,HBAR,BTC,base:HBAR; quote:BTC,indirecto,,
HBAR/FDUSD,HBAR,FDUSD,base:HBAR; quote:FDUSD,indirecto,,
HBAR/USDC,HBAR,USDC,base:HBAR; quote:USDC,indirecto,,
HEI/BTC,HEI,BTC,base:HEI; quote:BTC,indirecto,,
HEI/USDC,HEI,USDC,base:HEI; quote:USDC,indirecto,,
HFT/BTC,HFT,BTC,base:HFT; quote:BTC,indirecto,,
HIVE/BTC,HIVE,BTC,base:HIVE; quote:BTC,indirecto,,
HIVE/USDC,HIVE,USDC,base:HIVE; quote:USDC,indirecto,,
HMSTR/FDUSD,HMSTR,FDUSD,base:HMSTR; quote:FDUSD,indirecto,,
HMSTR/USDC,HMSTR,USDC,base:HMSTR; quote:USDC,indirecto,,
HOME/BNB,HOME,BNB,base:HOME; quote:BNB,indirecto,,
HOME/FDUSD,HOME,FDUSD,base:HOME; quote:FDUSD,indirecto,,
HOME/USDC,HOME,USDC,base:HOME; quote:USDC,indirecto,,
HOT/ETH,HOT,ETH,base:HOT; quote:ETH,indirecto,,
HUMA/BNB,HUMA,BNB,base:HUMA; quote:BNB,indirecto,,
HUMA/FDUSD,HUMA,FDUSD,base:HUMA; quote:FDUSD,indirecto,,
HUMA/USDC,HUMA,USDC,base:HUMA; quote:USDC,indirecto,,
HYPER/BNB,HYPER,BNB,base:HYPER; quote:BNB,indirecto,,
HYPER/USDC,HYPER,USDC,base:HYPER; quote:USDC,indirecto,,
ICP/BTC,ICP,BTC,base:ICP; quote:BTC,indirecto,,
ICP/ETH,ICP,ETH,base:ICP; quote:ETH,indirecto,,
ICP/FDUSD,ICP,FDUSD,base:ICP; quote:FDUSD,indirecto,,
ICP/USDC,ICP,USDC,base:ICP; quote:USDC,indirecto,,
ICX/BTC,ICX,BTC,base:ICX; quote:BTC,indirecto,,
ID/BTC,ID,BTC,base:ID; quote:BTC,indirecto,,
IDEX/USDC,IDEX,USDC,base:IDEX; quote:USDC,indirecto,,
ILV/BTC,ILV,BTC,base:ILV; quote:BTC,indirecto,,
ILV/USDC,ILV,USDC,base:ILV; quote:USDC,indirecto,,
IMX/BTC,IMX,BTC,base:IMX; quote:BTC,indirecto,,
INIT/BNB,INIT,BNB,base:INIT; quote:BNB,indirecto,,
INIT/FDUSD,INIT,FDUSD,base:INIT; quote:FDUSD,indirecto,,
INIT/USDC,INIT,USDC,base:INIT; quote:USDC,indirecto,,
INJ/BNB,INJ,BNB,base:INJ; quote:BNB,indirecto,,
INJ/BTC,INJ,BTC,base:INJ; quote:BTC,indirecto,,
INJ/ETH,INJ,ETH,base:INJ; quote:ETH,indirecto,,
INJ/FDUSD,INJ,FDUSD,base:INJ; quote:FDUSD,indirecto,,
INJ/USDC,INJ,USDC,base:INJ; quote:USDC,indirecto,,
IO/BNB,IO,BNB,base:IO; quote:BNB,indirecto,,
IO/BTC,IO,BTC,base:IO; quote:BTC,indirecto,,
IO/FDUSD,IO,FDUSD,base:IO; quote:FDUSD,indirecto,,
IO/USDC,IO,USDC,base:IO; quote:USDC,indirecto,,
IOTA/BTC,IOTA,BTC,base:IOTA; quote:BTC,indirecto,,
IOTA/ETH,IOTA,ETH,base:IOTA; quote:ETH,indirecto,,
IOTA/USDC,IOTA,USDC,base:IOTA; quote:USDC,indirecto,,
IOTX/BTC,IOTX,BTC,base:IOTX; quote:BTC,indirecto,,
IOTX/ETH,IOTX,ETH,base:IOTX; quote:ETH,indirecto,,
JOE/BTC,JOE,BTC,base:JOE; quote:BTC,indirecto,,
JST/BTC,JST,BTC,base:JST; quote:BTC,indirecto,,
JTO/FDUSD,JTO,FDUSD,base:JTO; quote:FDUSD,indirecto,,
JTO/USDC,JTO,USDC,base:JTO; quote:USDC,indirecto,,
JUP/FDUSD,JUP,FDUSD,base:JUP; quote:FDUSD,indirecto,,
JUP/USDC,JUP,USDC,base:JUP; quote:USDC,indirecto,,
JUV/USDC,JUV,USDC,base:JUV; quote:USDC,indirecto,,
KAIA/USDC,KAIA,USDC,base:KAIA; quote:USDC,indirecto,,
KAITO/BTC,KAITO,BTC,base:KAITO; quote:BTC,indirecto,,
KAITO/FDUSD,KAITO,FDUSD,base:KAITO; quote:FDUSD,indirecto,,
KAITO/USDC,KAITO,USDC,base:KAITO; quote:USDC,indirecto,,
