info_status,exchange,symbol_id,symbol,info_isSpotTradingAllowed
TRADING,binance,binance:ANKR/BTC,ANKR/BTC,True
BREAK,binance,binance:ANKR/BUSD,ANKR/BUSD,True
BREAK,binance,binance:ANKR/PAX,ANKR/PAX,True
TRADING,binance,binance:ANKR/TRY,ANKR/TRY,True
BREAK,binance,binance:ANKR/TUSD,ANKR/TUSD,True
BREAK,binance,binance:ANKR/USDC,ANKR/USDC,True
TRADING,binance,binance:ANKR/USDT,ANKR/USDT,True
TRADING,binance,binance:ANKR/USDT:USDT,ANKR/USDT:USDT,
BREAK,binance,binance:ANT/BNB,ANT/BNB,True
BREAK,binance,binance:ANT/BTC,ANT/BTC,True
BREAK,binance,binance:ANT/BUSD,ANT/BUSD,True
BREAK,binance,binance:ANT/USDT,ANT/USDT,True
BREAK,binance,binance:ANY/BTC,ANY/BTC,True
BREAK,binance,binance:ANY/BUSD,ANY/BUSD,True
BREAK,binance,binance:ANY/USDT,ANY/USDT,True
BREAK,binance,binance:APE/AUD,APE/AUD,True
BREAK,binance,binance:APE/BNB,APE/BNB,True
BREAK,binance,binance:APE/BRL,APE/BRL,True
TRADING,binance,binance:APE/BTC,APE/BTC,True
BREAK,binance,binance:APE/BUSD,APE/BUSD,True
BREAK,binance,binance:APE/ETH,APE/ETH,True
BREAK,binance,binance:APE/EUR,APE/EUR,True
TRADING,binance,binance:APE/FDUSD,APE/FDUSD,True
BREAK,binance,binance:APE/GBP,APE/GBP,True
TRADING,binance,binance:APE/TRY,APE/TRY,True
,binance,binance:APE/USD:APE,APE/USD:APE,
TRADING,binance,binance:APE/USDC,APE/USDC,True
TRADING,binance,binance:APE/USDT,APE/USDT,True
TRADING,binance,binance:APE/USDT:USDT,APE/USDT:USDT,
BREAK,binance,binance:API3/BNB,API3/BNB,True
TRADING,binance,binance:API3/BTC,API3/BTC,True
BREAK,binance,binance:API3/BUSD,API3/BUSD,True
TRADING,binance,binance:API3/TRY,API3/TRY,True
TRADING,binance,binance:API3/USDC,API3/USDC,True
TRADING,binance,binance:API3/USDT,API3/USDT,True
TRADING,binance,binance:API3/USDT:USDT,API3/USDT:USDT,
BREAK,binance,binance:APPC/BNB,APPC/BNB,True
BREAK,binance,binance:APPC/BTC,APPC/BTC,True
BREAK,binance,binance:APPC/ETH,APPC/ETH,True
BREAK,binance,binance:APT/BRL,APT/BRL,True
TRADING,binance,binance:APT/BTC,APT/BTC,True
BREAK,binance,binance:APT/BUSD,APT/BUSD,True
TRADING,binance,binance:APT/ETH,APT/ETH,True
TRADING,binance,binance:APT/EUR,APT/EUR,True
TRADING,binance,binance:APT/FDUSD,APT/FDUSD,True
TRADING,binance,binance:APT/JPY,APT/JPY,True
TRADING,binance,binance:APT/TRY,APT/TRY,True
,binance,binance:APT/USD:APT,APT/USD:APT,
TRADING,binance,binance:APT/USDC,APT/USDC,True
TRADING,binance,binance:APT/USDT,APT/USDT,True
TRADING,binance,binance:APT/USDT:USDT,APT/USDT:USDT,
BREAK,binance,binance:AR/BNB,AR/BNB,True
TRADING,binance,binance:AR/BTC,AR/BTC,True
BREAK,binance,binance:AR/BUSD,AR/BUSD,True
TRADING,binance,binance:AR/FDUSD,AR/FDUSD,True
TRADING,binance,binance:AR/TRY,AR/TRY,True
TRADING,binance,binance:AR/USDC,AR/USDC,True
TRADING,binance,binance:AR/USDT,AR/USDT,True
