exchange,symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker
binance,binance:ALICE/BTC,ALICE/BTC,ALICE,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALICE/BUSD,ALICE/BUSD,ALICE,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALICE/TRY,ALICE/TRY,ALICE,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALICE/USDT,ALICE/USDT,ALICE,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ALICE/USDT:USDT,ALICE/USDT:USDT,ALICE,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ALL/USDT:USDT,ALL/USDT:USDT,ALL,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ALPACA/BNB,ALPACA/BNB,ALPACA,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPACA/BTC,ALPACA/BTC,ALPACA,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPACA/BUSD,ALPACA/BUSD,ALPACA,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPACA/USDT,ALPACA/USDT,ALPACA,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPACA/USDT:USDT,ALPACA/USDT:USDT,ALPACA,USDT,swap,False,True,False,False,False,0.0005,0.0002
binance,binance:ALPHA/BNB,ALPHA/BNB,ALPHA,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPHA/BTC,ALPHA/BTC,ALPHA,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPHA/BUSD,ALPHA/BUSD,ALPHA,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPHA/USDT,ALPHA/USDT,ALPHA,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPHA/USDT:USDT,ALPHA/USDT:USDT,ALPHA,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ALPINE/BTC,ALPINE/BTC,ALPINE,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPINE/BUSD,ALPINE/BUSD,ALPINE,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPINE/EUR,ALPINE/EUR,ALPINE,EUR,spot,True,False,False,False,False,0.001,0.001
binance,binance:ALPINE/TRY,ALPINE/TRY,ALPINE,TRY,spot,True,False,False,False,True,0.001,0.001
